workerid,proliferate.condition,chance,id,error
87,Main,79,32,
87,Main,84,17,
87,Main,44,28,
87,Main,59,40,
87,Main,98,50,
87,Main,99,45,
87,Main,100,20,
87,Main,34,23,
87,Main,66,37,
87,Main,70,39,
87,Main,43,12,
87,Main,96,5,
87,Main,2,47,
87,Main,57,42,
87,Main,100,46,
87,Main,18,38,
87,Main,4,27,
87,Main,14,1,
87,Main,0,51,
87,Main,56,29,
87,Main,46,21,
87,Main,8,2,
87,Main,73,44,
87,Main,98,49,
87,Main,98,11,
87,Main,76,14,
87,Main,30,13,
87,Main,37,4,
87,Main,61,10,
87,Main,32,25,
87,Main,69,15,
87,Main,17,8,
87,Main,36,41,
87,Main,85,33,
87,Main,0,53,
87,Main,3,52,
87,Main,100,48,
87,Main,61,3,
87,Main,3,34,
87,Main,99,9,
87,Main,100,22,
87,Main,44,36,
87,Main,68,7,
87,Main,29,18,
87,Main,54,6,
87,Main,58,35,
87,Main,23,19,
87,Main,23,43,
87,Main,60,16,
87,Main,90,26,
87,Main,19,30,
87,Main,76,24,
87,Main,72,31,
112,Main,0,13,
112,Main,100,45,
112,Main,62,23,
112,Main,100,20,
112,Main,0,36,
112,Main,71,24,
112,Main,0,53,
112,Main,0,52,
112,Main,100,26,
112,Main,72,38,
112,Main,33,1,
112,Main,100,11,
112,Main,75,31,
112,Main,63,43,
112,Main,100,50,
112,Main,66,37,
112,Main,59,10,
112,Main,76,15,
112,Main,70,40,
112,Main,63,4,
112,Main,26,51,
112,Main,62,7,
112,Main,33,34,
112,Main,33,3,
112,Main,91,17,
112,Main,60,42,
112,Main,42,32,
112,Main,88,12,
112,Main,91,22,
112,Main,33,35,
112,Main,97,33,
112,Main,78,44,
112,Main,97,8,
112,Main,100,5,
112,Main,50,25,
112,Main,63,21,
112,Main,77,16,
112,Main,100,46,
112,Main,77,19,
112,Main,90,18,
112,Main,100,39,
112,Main,89,6,
112,Main,100,2,
112,Main,100,48,
112,Main,82,47,
112,Main,69,29,
112,Main,100,9,
112,Main,77,28,
112,Main,65,41,
112,Main,100,30,
112,Main,64,14,
112,Main,100,49,
112,Main,33,27,
88,Main,56,8,
88,Main,81,51,
88,Main,91,6,
88,Main,98,16,
88,Main,86,15,
88,Main,100,13,
88,Main,18,34,
88,Main,84,11,
88,Main,93,46,
88,Main,18,10,
88,Main,76,36,
88,Main,0,52,
88,Main,92,42,
88,Main,0,25,
88,Main,92,7,
88,Main,94,5,
88,Main,87,30,
88,Main,89,14,
88,Main,79,27,
88,Main,84,47,
88,Main,86,45,
88,Main,85,33,
