workerid,proliferate.condition,chance,id,error
17,Main,65,2,
17,Main,77,37,
17,Main,80,33,
17,Main,100,43,
17,Main,95,14,
17,Main,88,16,
17,Main,73,46,
17,Main,0,53,
17,Main,78,30,
17,Main,58,27,
17,Main,0,52,
17,Main,75,12,
17,Main,76,28,
17,Main,15,34,
17,Main,100,49,
17,Main,23,47,
17,Main,78,42,
17,Main,86,45,
17,Main,72,1,
17,Main,100,48,
17,Main,0,44,
17,Main,73,13,
17,Main,73,41,
17,Main,81,18,
17,Main,77,40,
17,Main,99,5,
17,Main,92,24,
17,Main,0,8,
17,Main,73,3,
17,Main,76,21,
17,Main,100,20,
17,Main,0,4,
17,Main,78,22,
17,Main,78,7,
17,Main,73,11,
17,Main,74,35,
17,Main,83,29,
17,Main,73,31,
17,Main,73,38,
17,Main,0,51,
17,Main,23,19,
17,Main,73,15,
17,Main,74,36,
17,Main,77,17,
17,Main,75,39,
17,Main,22,32,
17,Main,73,25,
17,Main,99,9,
17,Main,72,6,
17,Main,100,50,
17,Main,73,26,
17,Main,74,23,
17,Main,18,10,
19,Main,100,37,
19,Main,79,47,
19,Main,78,44,
19,Main,100,46,
19,Main,76,35,
19,Main,0,25,
19,Main,79,26,
19,Main,100,1,
19,Main,100,21,
19,Main,0,51,
19,Main,100,50,
19,Main,77,33,
19,Main,100,30,
19,Main,0,29,
19,Main,100,42,
19,Main,100,5,
19,Main,100,22,
19,Main,78,31,
19,Main,100,7,
19,Main,100,13,
19,Main,100,43,
19,Main,100,3,
19,Main,77,28,
19,Main,100,49,
19,Main,77,16,
19,Main,77,27,
19,Main,21,8,
19,Main,100,20,
19,Main,78,17,
19,Main,80,4,
19,Main,79,11,
19,Main,0,52,
19,Main,77,14,
19,Main,77,38,
19,Main,78,39,
19,Main,100,10,
19,Main,77,19,
19,Main,100,48,
19,Main,100,2,
19,Main,100,9,
19,Main,0,53,
19,Main,100,32,
19,Main,100,18,
19,Main,100,36,
19,Main,100,6,
19,Main,100,40,
19,Main,100,12,
19,Main,100,34,
19,Main,100,15,
19,Main,100,24,
19,Main,100,23,
19,Main,100,45,
19,Main,77,41,
21,Main,100,41,
21,Main,100,23,
21,Main,50,15,
21,Main,100,47,
21,Main,100,43,
21,Main,100,6,
21,Main,100,10,
21,Main,100,7,
21,Main,50,9,
21,Main,100,30,
21,Main,100,50,
21,Main,100,16,
21,Main,100,14,
21,Main,0,11,
21,Main,100,37,
21,Main,100,34,
21,Main,0,4,
21,Main,100,39,
21,Main,100,1,
21,Main,0,52,
21,Main,0,8,
21,Main,0,53,
21,Main,0,49,
21,Main,100,25,
21,Main,100,42,
21,Main,50,2,
21,Main,49,19,
21,Main,100,5,
21,Main,100,18,
21,Main,100,17,
21,Main,100,38,
21,Main,100,48,
21,Main,100,26,
21,Main,100,44,
21,Main,50,33,
21,Main,100,21,
21,Main,100,22,
21,Main,100,3,
21,Main,100,36,
21,Main,100,28,
21,Main,100,20,
21,Main,100,40,
21,Main,100,32,
21,Main,50,12,
21,Main,100,35,
21,Main,49,27,
21,Main,0,51,
21,Main,100,45,
21,Main,50,29,
21,Main,100,13,
21,Main,100,31,
21,Main,100,24,
21,Main,100,46,
13,Main,0,52,
13,Main,100,49,
13,Main,74,43,
13,Main,93,13,
13,Main,96,42,
13,Main,100,48,
13,Main,99,11,
13,Main,66,8,
13,Main,60,16,
13,Main,76,9,
13,Main,76,25,
13,Main,89,35,
13,Main,85,38,
13,Main,81,40,
13,Main,74,24,
13,Main,74,10,
13,Main,56,7,
13,Main,79,46,
13,Main,61,3,
13,Main,69,28,
13,Main,74,34,
13,Main,68,15,
13,Main,53,36,
13,Main,73,23,
13,Main,75,17,
13,Main,74,22,
13,Main,0,53,
13,Main,70,39,
13,Main,79,45,
13,Main,77,18,
13,Main,42,4,
13,Main,58,19,
13,Main,61,5,
13,Main,60,1,
13,Main,59,21,
13,Main,60,37,
13,Main,59,29,
13,Main,64,27,
13,Main,42,6,
13,Main,58,31,
13,Main,33,2,
13,Main,61,44,
13,Main,61,30,
13,Main,34,33,
13,Main,56,47,
13,Main,58,14,
13,Main,59,20,
13,Main,60,26,
13,Main,65,12,
13,Main,68,41,
13,Main,0,51,
13,Main,64,32,
13,Main,100,50,
15,Main,100,33,
15,Main,100,30,
15,Main,100,53,
15,Main,100,2,
15,Main,100,26,
15,Main,100,14,
15,Main,31,19,
15,Main,100,4,
15,Main,60,9,
15,Main,100,6,
15,Main,100,48,
15,Main,100,24,
15,Main,100,49,
15,Main,100,40,
15,Main,100,20,
15,Main,100,46,
15,Main,100,28,
15,Main,100,39,
15,Main,100,50,
15,Main,100,38,
15,Main,100,44,
15,Main,100,7,
15,Main,39,23,
15,Main,100,13,
15,Main,100,22,
15,Main,0,27,
15,Main,100,42,
15,Main,100,1,
15,Main,100,45,
15,Main,88,36,
15,Main,100,3,
15,Main,100,25,
15,Main,100,21,
15,Main,100,43,
15,Main,100,34,
15,Main,100,47,
15,Main,100,29,
15,Main,100,17,
15,Main,100,31,
15,Main,100,16,
15,Main,100,18,
15,Main,100,32,
15,Main,100,12,
15,Main,100,15,
15,Main,100,35,
15,Main,74,8,
15,Main,100,37,
15,Main,100,5,
15,Main,0,52,
15,Main,100,10,
15,Main,100,11,
15,Main,0,51,
15,Main,100,41,
11,Main,80,31,
11,Main,85,13,
11,Main,61,8,
11,Main,66,29,
11,Main,75,28,
11,Main,62,4,
11,Main,83,15,
11,Main,86,42,
11,Main,35,44,
11,Main,100,50,
11,Main,63,11,
11,Main,0,51,
11,Main,59,35,
11,Main,71,40,
11,Main,71,12,
11,Main,30,33,
11,Main,55,47,
11,Main,93,16,
11,Main,66,6,
11,Main,63,19,
11,Main,60,45,
11,Main,100,49,
11,Main,79,38,
11,Main,67,10,
11,Main,16,2,
11,Main,44,34,
11,Main,63,25,
11,Main,64,26,
11,Main,35,5,
11,Main,80,9,
11,Main,66,3,
11,Main,77,24,
11,Main,82,37,
11,Main,36,20,
11,Main,72,14,
11,Main,0,52,
11,Main,63,23,
11,Main,64,39,
11,Main,71,46,
11,Main,0,27,
11,Main,70,21,
11,Main,59,32,
11,Main,69,22,
11,Main,77,7,
11,Main,100,48,
11,Main,0,53,
11,Main,73,43,
11,Main,73,41,
11,Main,76,1,
11,Main,67,30,
11,Main,75,36,
11,Main,99,18,
11,Main,68,17,
12,Main,100,50,
12,Main,76,12,
12,Main,50,20,
12,Main,68,46,
12,Main,50,4,
12,Main,23,52,
12,Main,74,45,
12,Main,24,43,
12,Main,75,26,
12,Main,0,51,
12,Main,0,34,
12,Main,50,22,
12,Main,50,31,
12,Main,27,32,
12,Main,50,35,
12,Main,23,19,
12,Main,100,48,
12,Main,50,44,
12,Main,51,24,
12,Main,50,9,
12,Main,0,29,
12,Main,50,40,
12,Main,50,7,
12,Main,76,11,
12,Main,74,42,
12,Main,50,28,
12,Main,24,13,
12,Main,74,47,
12,Main,59,39,
12,Main,50,1,
12,Main,76,27,
12,Main,24,8,
12,Main,73,17,
12,Main,23,21,
12,Main,0,53,
12,Main,100,49,
12,Main,77,23,
12,Main,75,6,
12,Main,74,33,
12,Main,74,38,
12,Main,75,18,
12,Main,76,30,
12,Main,75,41,
12,Main,24,2,
12,Main,22,25,
12,Main,77,16,
12,Main,22,3,
12,Main,76,14,
12,Main,79,5,
12,Main,76,36,
12,Main,77,10,
12,Main,76,15,
12,Main,75,37,
20,Main,73,40,
20,Main,50,30,
20,Main,29,44,
20,Main,0,53,
20,Main,0,52,
20,Main,18,1,
20,Main,70,9,
20,Main,77,33,
20,Main,69,24,
20,Main,50,13,
20,Main,74,50,
20,Main,19,2,
20,Main,74,28,
20,Main,75,35,
20,Main,72,10,
20,Main,100,49,
20,Main,64,20,
20,Main,73,43,
20,Main,50,34,
20,Main,71,7,
20,Main,0,29,
20,Main,0,51,
20,Main,100,48,
20,Main,76,38,
20,Main,79,15,
20,Main,70,32,
20,Main,74,21,
20,Main,75,31,
20,Main,100,22,
20,Main,80,47,
20,Main,81,26,
20,Main,20,27,
20,Main,100,36,
20,Main,72,41,
20,Main,62,3,
20,Main,72,14,
20,Main,100,46,
20,Main,69,19,
20,Main,100,8,
20,Main,73,39,
20,Main,68,45,
20,Main,100,18,
20,Main,76,23,
20,Main,73,25,
20,Main,81,4,
20,Main,99,42,
20,Main,80,17,
20,Main,74,6,
20,Main,68,12,
20,Main,81,5,
20,Main,78,11,
20,Main,73,37,
20,Main,75,16,
18,Main,29,25,
18,Main,72,8,
18,Main,35,27,
18,Main,79,24,
18,Main,100,50,
18,Main,26,32,
18,Main,18,29,
18,Main,76,45,
18,Main,77,30,
18,Main,82,46,
18,Main,66,16,
18,Main,63,6,
18,Main,75,18,
18,Main,79,9,
18,Main,81,44,
18,Main,86,26,
18,Main,80,17,
18,Main,39,41,
18,Main,37,21,
18,Main,73,28,
18,Main,58,1,
18,Main,60,36,
18,Main,100,20,
18,Main,80,42,
18,Main,80,11,
18,Main,0,4,
18,Main,67,13,
18,Main,95,5,
18,Main,96,3,
18,Main,77,12,
18,Main,100,49,
18,Main,83,22,
18,Main,0,53,
18,Main,77,35,
18,Main,12,31,
18,Main,86,37,
18,Main,78,39,
18,Main,64,23,
18,Main,85,10,
18,Main,86,14,
18,Main,93,38,
18,Main,84,34,
18,Main,56,47,
18,Main,18,52,
18,Main,64,19,
18,Main,77,40,
18,Main,100,48,
18,Main,96,33,
18,Main,87,2,
18,Main,93,43,
18,Main,99,15,
18,Main,99,7,
18,Main,0,51,
16,Main,100,37,
16,Main,91,1,
16,Main,49,17,
16,Main,0,53,
16,Main,100,48,
16,Main,91,24,
16,Main,66,39,
16,Main,59,14,
16,Main,51,36,
16,Main,77,6,
16,Main,63,43,
16,Main,59,7,
16,Main,60,23,
16,Main,62,25,
16,Main,100,45,
16,Main,0,29,
16,Main,100,22,
16,Main,58,10,
16,Main,99,35,
16,Main,68,16,
16,Main,70,40,
16,Main,27,28,
16,Main,65,21,
16,Main,4,4,
16,Main,84,31,
16,Main,61,13,
16,Main,91,33,
16,Main,27,32,
16,Main,2,51,
16,Main,16,11,
16,Main,98,30,
16,Main,73,5,
16,Main,32,20,
16,Main,16,27,
16,Main,49,19,
16,Main,81,3,
16,Main,100,42,
16,Main,13,12,
16,Main,65,44,
16,Main,0,34,
16,Main,31,9,
16,Main,69,26,
16,Main,80,41,
16,Main,100,50,
16,Main,23,47,
16,Main,8,52,
16,Main,15,8,
16,Main,79,38,
16,Main,84,46,
16,Main,100,18,
16,Main,100,49,
16,Main,61,15,
16,Main,0,2,
