ID,Disjunct_A,Disjunct_B,Question,Group,Claimed Bias,Notes
1,John brought pizza to the party.,John brought pasta to the party.,How likely is is that someone brought both pizza and pasta to the party?,experimental,Exclusive Biased,
2,Every boy chose a skateboard.,Every boy chose a bike.,How likely is it that every boy chose both a skateboard and a bike?,experimental,Exclusive Biased,
3,Every farmer cleaned a horse.,Every farmer cleaned a rabbit.,How likely is it that every farmer cleaned both a horse and a rabbit?,experimental,Exclusive Biased,
4,John is singing.,John is screaming.,How likely is it that someone is both singing and screaming?,experimental,Exclusive Biased,
5,Every student who wrote an essay got extra credit.,Every student who made a classroom presentation got extra credit,How likely is it that every student who both wrote an essay and made a classroom presentation got extra credit?,experimental,Inclusive Biased,"Changed squib to essay, SCOPE ISSUES"
6,"Tomorrow, a linguist will come to see me.","Tomorrow, a philosopher will come to see me.",How likely is it that both a linguist and a philosopher would visit someone tomorrow?,experimental,Exclusive Biased,
7,Ernie was at the airport.,Bert was at the airport.,How likely is it that both Ernie and Bert were at the airport?,experimental,Exclusive Biased,
8,"If you take salad, you pay $20.","If you take dessert, you pay $20.",How likely is it that if you take both salad and dessert you pay $20?,experimental,Exclusive Biased,Edited from original to make sense
9,"If you take salad, you'll be really full.","If you take dessert, you'll be really full.",How likely is it that if you take both salad and dessert you'll be really full?,experimental,Inclusive Biased,
10,Marie dated John.,Marie dated Bill.,How likely is it that someone dated both John and Bill?,experimental,Exclusive Biased,
11,He heard that if he wanted to pass the course he should read the class notes.,He heard that if he wanted to pass the course he should read the summary.,How likely is it that someone would hear that they should read both the class notes and the summary if they wanted to pass a course?,experimental,Inclusive Biased,SCOPE ISSUES
12,Jones from the Department of Finance has the report on last year's earnings.,Barnes from the Department of Finance has the report on last year's earnings.,How likely is it that two people from the Department of Finance both have the report on last year's earnings?,experimental,N/A,
13,Every boy is holding an apple.,Every boy is holding a banana.,How likely is it that every boy is holding both an apple and a banana?,experimental,N/A,
14,Joe will show up.,Bill will show up. ,How likely is it that two people will both show up to something?,experimental,Exclusive Biased,
15,An applicant should have a degree in engineering.,An applicant should have five years of programming experience.,How likely is it that an applicant should have both a degree in engineering and 5 years of programming experience?,experimental,Inclusive Biased,
16,John has an M.D.,John has a Ph.D.,How likely is it that someone has both an M.D. and a Ph.D. ?,experimental,Exclusive Biased,
17,I’d like flowers.,I’d like champagne.,How likely is it that someone would like both flowers and champagne?,experimental,Inclusive Biased,
18,I could invite John.,I could invite Sarah.,How likely is it that someone could invite both John and Sarah?,experimental,Exclusive Biased,
19,John is patriotic. ,John is quixotic. ,How likely is it that someone is both patriotic and quixotic?,experimental,N/A,
20,Every student who speaks French passed the exam,Every student who speaks Spanish passed the exam,How likely is it that every student who speaks both French and Spanish passed the exam?,experimental,Inclusive Biased,
21,Every woman bought eggs.,Every woman bought bananas.,How likely is it that every woman bought both eggs and bananas?,experimental,N/A,
22,The policeman stressed to Jim that a valid identification document is his ID.,The policeman stressed to Jim that a valid identification document is his Passport.,How likely is it that a policeman would stress that both his ID and his Passport are valid identification documents?,experimental,Inclusive Biased,Agreement changed to plural
