ID,Disjunction,Question,Group,Hypothesized_Bias,NOTES
1,John brought pizza or pasta to the party.,"Based on the sentence, how possible is it that John brought both pizza and pasta to the party?",experimental,Exclusive Biased,
2,Every boy chose a skate-board or a bike.,"Based on the sentence, how possible is it that every boy chose both a skate-board and a bike?",experimental,Exclusive Biased,
3,Every farmer cleaned a horse or a rabbit.,"Based on the sentence, how possible is it that every farmer cleaned both a horse and a rabbit?",experimental,Exclusive Biased,
4,John is singing or screaming.,"Based on the sentence, how possible is it that John is both singing and screaming?",experimental,Exclusive Biased,
5,Every student who wrote an essay or made a classroom presentation got extra credit.,"Based on the sentence, how possible is it that both every student who wrote an essay and every student who made a classroom presentation got extra credit?",experimental,Inclusive Biased,
6,"Tomorrow, a linguist or a philosopher will come to see me.","Based on the sentence, how possible is it that tomorrow, both a linguist and a philosopher will come to see them?",experimental,Exclusive Biased,
7,Ernie or Bert were at the airport.,"Based on the sentence, how possible is it that Ernie and Bert were both at the airport?",experimental,Exclusive Biased,AGREEMENT
8,"If you take salad or dessert, you pay $20.","Based on the sentence, how possible is it that if you take both salad and dessert, you pay $20?",experimental,Exclusive Biased ,
9,"If you take salad or dessert, you'll be really full.","Based on the sentence, how possible is it that if you take both salad and dessert, you'll be really full?",experimental,Inclusive Biased,
10,Marie dated John or Bill.,"Based on the sentence, how possible is it that Marie dated both John and Bill?",experimental,Exclusive Biased,
11,He heard that if he wanted to pass the course he should read the class notes or the summary.,"Based on the sentence, how possible is it that people meant that if he wanted to pass the course he should read both the class notes and the summary?",experimental,Inclusive Biased,
12,Jones or Barnes from the Department of Finance has the report on last year's earnings.,"Based on the sentence, how possible is it that both Jones and Barnes from the Department of Finance have the report on last year's earnings?",experimental,N/A,AGREEMENT
13,Every boy is holding an apple or a banana.,"Based on the sentence, how possible is it that every boy is holding both an apple and a banana?",experimental,N/A,
14,Joe or Bill will show up.,"Based on the sentence, how possible is it that both Joe and Bill will show up?",experimental,Exclusive Biased,
15,An applicant should have a degree in engineering or five years of programming experience.,"Based on the sentence, how possible is it that the speaker would be fine with an applicant who has both a degree in engineering and five years of programming experience?",experimental,Inclusive Biased,
16,John has an M.D. or a Ph.D.,"Based on the sentence, how possible is it that John has both an M.D. and a Ph.D.?",experimental,Exclusive Biased,
17,I’d like flowers or champagne.,"Based on the sentence, how possible is it that the speaker would like both flowers and champagne?",experimental,Inclusive Biased,
18,I could invite John or Sarah.,"Based on the sentence, how possible is it that the speaker is able to invite both John and Sarah?",experimental,Exclusive Biased,
19,John is patriotic or quixotic,"Based on the sentence, how possible is it that John is both patriotic and quixotic?",experimental,N/A,EITHER
20,Every student who speaks French or Spanish passed the exam.,"Based on the sentence, how possible is it that both every student who speaks French and every student who speaks Spanish passed the exam?",experimental,Inclusive Biased,
21,Every woman bought eggs or bananas.,"Based on the sentence, how possible is it that every woman bought both eggs and bananas?",experimental,N/A,
22,The policeman stressed to Jim that valid identification documentation are his ID or passport. ,"Based on the sentence, how possible is it that the policeman stressed to Jim that valid identification documentation are both his ID and passport? ",experimental,Inclusive Biased,
23,Today customers can have free meat or fish. ,"Based on the sentence, how possible is it that today customers can have both free meat and free fish? ",experimental,Exclusive Biased,
24,"To avoid getting wet, Maria suggested Jeffrey take an umbrella or a coat with him. ","Based on the sentence, how possible is it that Maria meant that Jeffrey should take both an umbrella and a coat with him? ",experimental,Inclusive Biased,
25,Ivan is an American or a Russian. ,"Based on the sentence, how possible is it that Ivan is both an American and a Russian? ",experimental,Exclusive Biased,
26,Customers who are teachers or college students are entitled to a special reduction. ,"Based on the sentence, how possible is it that customers who are both teachers and college students are entitled to a special reduction? ",experimental,Inclusive Biased,
27,We shall go on a hike or we shall go to the theater. ,"Based on the sentence, how possible is it that they shall both go on a hike and go to the theater? ",experimental,Exclusive Biased,CHANGE
